subject_folder	csv_path	trial_index_csv	trigger	category	show_image_duration_s	image_stimulus_duration_s	pre_fixation_s	post_image_delay_s	image_onset_interval_s
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	127	1154	chandelier	3.8744446000000607		2.02214449999974	0.2489917000002606	6.100561700000071
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	128	1087	bathrobe	3.9816149999996924		1.9841161000003922	0.2503821999998763	6.217708099999982
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	129	1065	cabinet	3.993265999999494		1.9930137000001196	0.25009200000113196	5.748223500000677
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	130	1114	spinach	3.9880916999991314	3.991516199999751	1.5119334000009985	0.2496738000008918	6.080632199998945
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	131	1138	ping-pong_table	3.9907630000006975		1.849396199999319	0.24960679999912827	6.058745199999976
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	132	1113	firetruck	3.9598008000002665		1.8251204999996844	0.24954650000017864	6.007601900000736
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	133	1021	tea	3.987179999999171		1.8049521000002642	0.24970670000038808	5.7985947999995915
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	134	1023	wolf	3.9868620999995983	3.9899604000002	1.568668500000058	0.24995870000111609	6.224705399999948
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	135	1093	duckling	3.9914732999995977		1.9947073999992426	0.24989950000053796	5.874421499999698
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	136	1146	cheesecake	3.9922802000000956		1.6401191999993898	0.24935660000028292	6.014083600000049
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	137	1045	goose	3.9922418000005564	3.9949365000002217	1.778842099999565	0.2493638000005376	5.870115700000497
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	138	1156	coconut	3.9484084999994593		1.6352335999999923	0.24924730000111595	5.7398576999994475
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	139	1058	loveseat	3.986329700001079		1.5488400999993246	0.2497191999991628	5.9741732000011325
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	140	1055	seagull	3.991121399999429		1.7450492000007216	0.25871790000019246	25.020866099998784
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	141	1056	leggings	3.9845036000006075		1.5913570999991862	0.2493453999995836	5.8895314999999755
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	142	1054	bathtub	3.990816200000154		1.6621415999998135	0.24989730000106647	6.184326200000214
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	143	1034	bracelet1	3.98676179999984	3.9904705000008107	1.95127439999942	0.24988870000015595	6.19136410000101
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	144	1003	shorts	3.9899908999996114		1.9614954000007856	0.24987659999987955	6.207075399998757
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	145	1078	sea_urchin	3.9912844000000405	3.995274900000368	1.9742245999996157	0.24963340000067546	6.056862000001274
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	146	1105	gorilla	3.9899299999988216		1.8226736000005985	0.2499126000011529	5.843651199998931
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	147	1129	workbench	3.9869210000006206	3.9900367999998707	1.6106464999993477	0.24947069999961968	5.8989793000000645
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	148	1088	slipper	3.990790500000003		1.669119000000137	0.24913530000048922	6.078254500000185
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	149	1102	crab	3.9903962000007596		1.8449796000004426	0.24806959999932587	6.215939200000321
