row	subject_folder	trigger	category	is_repeat	epoch_valid	artifact_status	usable_after_rejection	peak_abs_uv	rms_uv	mean_uv	std_uv
275	P05	1130	showerhead	False	True	pass	True	21.206802	5.162217	0.000012	5.162217
276	P05	1143	mango	False	True	pass	True	61.851395	6.750333	-0.000021	6.750333
277	P05	1123	sorbet	False	True	pass	True	77.292336	8.781446	-0.000011	8.781446
278	P05	1013	banana	False	True	pass	True	27.554258	5.556028	0.000005	5.556028
279	P05	1139	earwig	False	True	pass	True	16.649393	4.246693	-0.000009	4.246692
280	P05	1079	puppy	False	True	pass	True	90.860207	9.440870	-0.000007	9.440870
281	P05	1082	necklace	False	True	pass	True	89.146454	8.074112	0.000001	8.074112
282	P05	1131	eel	False	True	pass	True	20.760487	5.574780	0.000048	5.574780
283	P05	1143	mango	True	True	pass	True	76.774162	8.376088	0.000045	8.376089
284	P05	1109	wasp	False	True	pass	True	22.776049	5.233150	-0.000009	5.233150
285	P05	1046	tiramisu	True	True	pass	True	28.948254	6.115184	0.000009	6.115183
286	P05	1133	cockatoo	False	True	pass	True	17.792055	5.322937	0.000002	5.322937
287	P05	1002	pea	False	True	pass	True	18.484575	4.775274	-0.000032	4.775274
288	P05	1135	pony	False	True	pass	True	25.500189	5.199878	0.000006	5.199878
289	P05	1125	sundae	True	True	pass	True	69.713844	6.194263	0.000022	6.194262
290	P05	1124	nightshirt	True	True	pass	True	28.018972	6.665688	0.000020	6.665688
291	P05	1140	kayak	False	True	pass	True	50.963314	7.437562	0.000003	7.437562
292	P05	1059	zucchini	False	True	pass	True	55.504402	6.411163	0.000034	6.411163
293	P05	1040	panda	False	True	pass	True	82.140335	9.041615	-0.000052	9.041615
294	P05	1061	taco	True	True	pass	True	73.726173	6.214587	-0.000009	6.214587
295	P05	1107	omelet	False	True	pass	True	73.999878	7.870497	0.000004	7.870497
296	P05	1086	pasta	False	True	pass	True	105.710335	10.739764	0.000023	10.739764
297	P05	1010	pineapple	False	True	pass	True	24.228146	5.456814	-0.000023	5.456814
