subject_folder	channel	freq_hz	psd_uV2_per_Hz
P04	F4	54.000000	0.000131719512865
P04	F4	55.000000	0.000304026616504
P04	F4	56.000000	0.000183612195542
P04	F4	57.000000	2.6996998713e-05
P04	F4	58.000000	0.000465756107587
P04	F4	59.000000	0.000476866349345
P04	F4	60.000000	0.000432276894571
P04	F4	61.000000	0.000232828926528
P04	F4	62.000000	1.78645714186e-05
P04	F4	63.000000	3.00919055007e-05
P04	F4	64.000000	0.00011023505067
P04	F4	65.000000	0.000208459809073
P04	F4	66.000000	8.23846312414e-06
P04	F4	67.000000	2.32605452766e-05
P04	F4	68.000000	1.55541511049e-05
P04	F4	69.000000	0.000133491950692
P04	F4	70.000000	3.20083054248e-05
P04	F4	71.000000	0.000192377294297
P04	F4	72.000000	0.000244658469455
P04	F4	73.000000	7.2715600254e-05
P04	F4	74.000000	0.000103033235064
P04	F4	75.000000	0.000191553015611
P04	F4	76.000000	2.86608556053e-05
P04	F4	77.000000	1.86229972314e-05
P04	F4	78.000000	0.000144049437949
P04	F4	79.000000	0.000339635531418
P04	F4	80.000000	0.000229745492106
P04	C4	1.000000	0.0754104405642
P04	C4	2.000000	0.0128479655832
P04	C4	3.000000	0.000815887353383
P04	C4	4.000000	0.00608237180859
P04	C4	5.000000	0.00120097456966
P04	C4	6.000000	0.000864483707119
P04	C4	7.000000	0.00126717437524
P04	C4	8.000000	0.00019126269035
P04	C4	9.000000	0.0011095800437
P04	C4	10.000000	0.0015256680781
P04	C4	11.000000	0.00144974375144
P04	C4	12.000000	0.0023816449102
P04	C4	13.000000	0.00162514171097
P04	C4	14.000000	0.000921501079574
P04	C4	15.000000	0.00118968659081
P04	C4	16.000000	0.0013209444005
P04	C4	17.000000	0.000270980293863
P04	C4	18.000000	0.00240210350603
P04	C4	19.000000	0.000901465653442
P04	C4	20.000000	0.000203804433113
P04	C4	21.000000	0.00133265834302
P04	C4	22.000000	0.00240815570578
P04	C4	23.000000	0.000204340656637
P04	C4	24.000000	0.000395560404286
P04	C4	25.000000	0.00179727678187
P04	C4	26.000000	0.00156529480591
P04	C4	27.000000	0.00044703957974
P04	C4	28.000000	0.00034169346327
P04	C4	29.000000	0.00026838935446
P04	C4	30.000000	8.39170752442e-05
P04	C4	31.000000	0.000204530864721
P04	C4	32.000000	0.00016291992506
P04	C4	33.000000	2.7937003324e-05
P04	C4	34.000000	1.09781694846e-05
P04	C4	35.000000	0.000154136447236
P04	C4	36.000000	2.78972966044e-05
P04	C4	37.000000	3.73528637283e-05
P04	C4	38.000000	0.000101911711681
P04	C4	39.000000	8.90602386789e-05
P04	C4	40.000000	1.77368365257e-05
P04	C4	41.000000	3.6681558413e-05
P04	C4	42.000000	1.57249382937e-06
