subject_folder	trigger	category	n_total	n_usable	repeat_corr_flat_31x250	status
P05	1096	beaver	1	1		insufficient_after_rejection
P05	1097	sandwich	1	1		insufficient_after_rejection
P05	1098	stool	1	1		insufficient_after_rejection
P05	1099	tricycle	1	1		insufficient_after_rejection
P05	1100	champagne	1	1		insufficient_after_rejection
P05	1101	boat	1	1		insufficient_after_rejection
P05	1102	crab	1	1		insufficient_after_rejection
P05	1103	blazer	1	1		insufficient_after_rejection
P05	1104	speaker	2	2	0.048625	pass
P05	1105	gorilla	1	1		insufficient_after_rejection
P05	1106	swordfish	1	1		insufficient_after_rejection
P05	1107	omelet	1	1		insufficient_after_rejection
P05	1108	possum	1	1		insufficient_after_rejection
P05	1109	wasp	1	1		insufficient_after_rejection
P05	1110	jet	2	2	-0.041439	pass
P05	1111	creme_brulee	1	1		insufficient_after_rejection
P05	1112	hard_disk	1	1		insufficient_after_rejection
P05	1113	firetruck	1	1		insufficient_after_rejection
P05	1114	spinach	1	1		insufficient_after_rejection
P05	1115	marshmallow	1	1		insufficient_after_rejection
P05	1116	praying_mantis	1	1		insufficient_after_rejection
P05	1117	hamster	1	1		insufficient_after_rejection
P05	1118	candy_bar	2	2	0.666434	pass
P05	1119	star_fruit	1	1		insufficient_after_rejection
P05	1120	owl	2	2	0.201839	pass
P05	1121	sunglasses	2	2	0.209433	pass
P05	1122	webcam	1	1		insufficient_after_rejection
P05	1123	sorbet	1	1		insufficient_after_rejection
P05	1124	nightshirt	2	2	0.245350	pass
P05	1125	sundae	2	2	0.285210	pass
P05	1126	helicopter	2	2	0.470813	pass
P05	1127	space_shuttle	1	1		insufficient_after_rejection
P05	1128	toad	1	1		insufficient_after_rejection
P05	1129	workbench	2	2	0.269305	pass
P05	1130	showerhead	2	2	0.333964	pass
P05	1131	eel	1	1		insufficient_after_rejection
P05	1132	polar_bear	2	2	0.071348	pass
P05	1133	cockatoo	1	1		insufficient_after_rejection
P05	1134	sleeping_bag	2	2	0.155912	pass
P05	1135	pony	1	1		insufficient_after_rejection
P05	1136	snake	1	1		insufficient_after_rejection
P05	1137	lamb	1	1		insufficient_after_rejection
P05	1138	ping-pong_table	1	1		insufficient_after_rejection
P05	1139	earwig	1	1		insufficient_after_rejection
P05	1140	kayak	1	1		insufficient_after_rejection
P05	1141	peach	1	1		insufficient_after_rejection
P05	1142	piglet	1	1		insufficient_after_rejection
P05	1143	mango	2	2	-0.106849	pass
P05	1144	tarantula	2	2	0.526961	pass
P05	1145	rocking_chair	2	2	0.020487	pass
P05	1146	cheesecake	1	1		insufficient_after_rejection
P05	1147	lemonade	2	2	0.459053	pass
P05	1148	broccoli	1	1		insufficient_after_rejection
P05	1149	mole	1	1		insufficient_after_rejection
P05	1150	chick	2	2	0.383389	pass
P05	1151	tractor	1	1		insufficient_after_rejection
P05	1152	speedboat	1	1		insufficient_after_rejection
P05	1153	donut	1	1		insufficient_after_rejection
P05	1154	chandelier	1	1		insufficient_after_rejection
P05	1155	kale	1	1		insufficient_after_rejection
P05	1156	coconut	1	1		insufficient_after_rejection
P05	1157	barnacle	2	2	0.071482	pass
P05	1158	bulldozer	1	1		insufficient_after_rejection
P05	1159	pear	2	2	0.660391	pass
P05	1160	clam	2	2	0.679803	pass
P06	1001	limousine	2	2	0.456335	pass
P06	1002	pea	1	1		insufficient_after_rejection
P06	1003	shorts	1	1		insufficient_after_rejection
P06	1004	dalmatian	1	1		insufficient_after_rejection
P06	1005	ottoman	1	1		insufficient_after_rejection
P06	1006	cardinal	2	2	0.176666	pass
P06	1007	mirror	1	1		insufficient_after_rejection
P06	1008	keyboard	1	1		insufficient_after_rejection
P06	1009	papaya	1	1		insufficient_after_rejection
P06	1010	pineapple	1	1		insufficient_after_rejection
P06	1011	raspberry	1	1		insufficient_after_rejection
P06	1012	burrito	2	2	0.352036	pass
P06	1013	banana	1	1		insufficient_after_rejection
P06	1014	shark	1	1		insufficient_after_rejection
P06	1015	moose	2	2	0.414605	pass
P06	1016	ant	1	1		insufficient_after_rejection
P06	1017	carrot	1	1		insufficient_after_rejection
P06	1018	coffee	1	1		insufficient_after_rejection
P06	1019	videocassette	1	1		insufficient_after_rejection
P06	1020	television	2	2	0.025094	pass
P06	1021	tea	1	1		insufficient_after_rejection
P06	1022	shoe	1	1		insufficient_after_rejection
P06	1023	wolf	2	2	0.570576	pass
P06	1024	lab_coat	1	1		insufficient_after_rejection
P06	1025	llama	1	1		insufficient_after_rejection
P06	1026	asparagus	1	1		insufficient_after_rejection
P06	1027	memory_stick	2	2	0.270524	pass
P06	1028	meatball	1	1		insufficient_after_rejection
P06	1029	sheep	1	1		insufficient_after_rejection
P06	1030	puffin	1	1		insufficient_after_rejection
P06	1031	fish	1	1		insufficient_after_rejection
P06	1032	pants	1	1		insufficient_after_rejection
P06	1033	helmet	1	1		insufficient_after_rejection
P06	1034	bracelet1	1	1		insufficient_after_rejection
P06	1035	lizard	1	1		insufficient_after_rejection
P06	1036	ladybug	1	1		insufficient_after_rejection
P06	1037	steamroller	1	1		insufficient_after_rejection
P06	1038	cupcake	1	1		insufficient_after_rejection
P06	1039	sailboat	1	1		insufficient_after_rejection
P06	1040	panda	1	1		insufficient_after_rejection
P06	1041	octopus	1	1		insufficient_after_rejection
P06	1042	eagle	1	1		insufficient_after_rejection
P06	1043	ostrich	1	1		insufficient_after_rejection
P06	1044	raccoon	1	1		insufficient_after_rejection
P06	1045	goose	2	2	0.447497	pass
P06	1046	tiramisu	2	2	0.241917	pass
P06	1047	drawer	1	1		insufficient_after_rejection
P06	1048	sombrero	1	1		insufficient_after_rejection
P06	1049	rat	1	1		insufficient_after_rejection
P06	1050	artichoke	1	1		insufficient_after_rejection
P06	1051	yacht	2	2	0.184144	pass
P06	1052	wallpaper	2	2	0.287603	pass
P06	1053	reindeer	2	2	0.249568	pass
P06	1054	bathtub	1	1		insufficient_after_rejection
P06	1055	seagull	1	1		insufficient_after_rejection
P06	1056	leggings	1	1		insufficient_after_rejection
P06	1057	eggnog	1	1		insufficient_after_rejection
P06	1058	loveseat	1	1		insufficient_after_rejection
P06	1059	zucchini	2	2	0.482335	pass
P06	1060	squirrel	2	2	-0.203689	pass
P06	1061	taco	2	2	0.276159	pass
P06	1062	antelope	2	2	0.030564	pass
P06	1063	car	1	1		insufficient_after_rejection
P06	1064	fly	1	1		insufficient_after_rejection
P06	1065	cabinet	1	1		insufficient_after_rejection
P06	1066	giraffe	1	1		insufficient_after_rejection
P06	1067	taffy	1	1		insufficient_after_rejection
P06	1068	radio	1	1		insufficient_after_rejection
P06	1069	rollerblade	1	1		insufficient_after_rejection
P06	1070	dragonfly	1	1		insufficient_after_rejection
P06	1071	mongoose	2	2	0.386071	pass
P06	1072	blackberry	1	1		insufficient_after_rejection
P06	1073	bull	1	1		insufficient_after_rejection
P06	1074	cobra	1	1		insufficient_after_rejection
P06	1075	filing_cabinet	1	1		insufficient_after_rejection
P06	1076	groundhog	1	1		insufficient_after_rejection
P06	1077	bison	1	1		insufficient_after_rejection
P06	1078	sea_urchin	1	1		insufficient_after_rejection
P06	1079	puppy	1	1		insufficient_after_rejection
P06	1080	camcorder	1	1		insufficient_after_rejection
P06	1081	police_car	1	1		insufficient_after_rejection
P06	1082	necklace	2	2	-0.686905	pass
P06	1083	shirt	1	1		insufficient_after_rejection
P06	1084	cheetah	2	2	-0.436483	pass
P06	1085	frog	1	1		insufficient_after_rejection
P06	1086	pasta	1	1		insufficient_after_rejection
P06	1087	bathrobe	1	1		insufficient_after_rejection
P06	1088	slipper	1	1		insufficient_after_rejection
P06	1089	unicycle	1	1		insufficient_after_rejection
P06	1090	garlic	1	1		insufficient_after_rejection
P06	1091	kitten	1	1		insufficient_after_rejection
P06	1092	bunkbed	2	2	0.375433	pass
P06	1093	duckling	1	1		insufficient_after_rejection
P06	1094	onion	1	1		insufficient_after_rejection
P06	1095	mouse2	1	1		insufficient_after_rejection
P06	1096	beaver	1	1		insufficient_after_rejection
P06	1097	sandwich	1	1		insufficient_after_rejection
P06	1098	stool	1	1		insufficient_after_rejection
P06	1099	tricycle	1	1		insufficient_after_rejection
P06	1100	champagne	1	1		insufficient_after_rejection
P06	1101	boat	1	1		insufficient_after_rejection
P06	1102	crab	1	1		insufficient_after_rejection
P06	1103	blazer	1	1		insufficient_after_rejection
P06	1104	speaker	2	2	0.289575	pass
P06	1105	gorilla	1	1		insufficient_after_rejection
P06	1106	swordfish	1	1		insufficient_after_rejection
P06	1107	omelet	1	1		insufficient_after_rejection
P06	1108	possum	1	1		insufficient_after_rejection
P06	1109	wasp	1	1		insufficient_after_rejection
P06	1110	jet	2	2	-0.571374	pass
P06	1111	creme_brulee	1	1		insufficient_after_rejection
P06	1112	hard_disk	1	1		insufficient_after_rejection
P06	1113	firetruck	1	1		insufficient_after_rejection
P06	1114	spinach	1	1		insufficient_after_rejection
P06	1115	marshmallow	1	1		insufficient_after_rejection
P06	1116	praying_mantis	1	1		insufficient_after_rejection
P06	1117	hamster	1	1		insufficient_after_rejection
P06	1118	candy_bar	2	2	0.379252	pass
P06	1119	star_fruit	1	1		insufficient_after_rejection
P06	1120	owl	2	2	0.082821	pass
P06	1121	sunglasses	2	2	0.548327	pass
P06	1122	webcam	1	1		insufficient_after_rejection
P06	1123	sorbet	1	1		insufficient_after_rejection
P06	1124	nightshirt	2	2	0.058621	pass
P06	1125	sundae	2	2	0.786445	pass
P06	1126	helicopter	2	2	0.393648	pass
P06	1127	space_shuttle	1	1		insufficient_after_rejection
P06	1128	toad	1	1		insufficient_after_rejection
P06	1129	workbench	2	2	0.263669	pass
P06	1130	showerhead	2	2	0.064406	pass
P06	1131	eel	1	1		insufficient_after_rejection
P06	1132	polar_bear	2	2	-0.028076	pass
P06	1133	cockatoo	1	1		insufficient_after_rejection
P06	1134	sleeping_bag	2	2	0.345809	pass
P06	1135	pony	1	1		insufficient_after_rejection
P06	1136	snake	1	1		insufficient_after_rejection
P06	1137	lamb	1	1		insufficient_after_rejection
P06	1138	ping-pong_table	1	1		insufficient_after_rejection
P06	1139	earwig	1	1		insufficient_after_rejection
P06	1140	kayak	1	1		insufficient_after_rejection
P06	1141	peach	1	1		insufficient_after_rejection
P06	1142	piglet	1	1		insufficient_after_rejection
P06	1143	mango	2	2	0.473523	pass
P06	1144	tarantula	2	2	0.419763	pass
P06	1145	rocking_chair	2	2	0.189991	pass
P06	1146	cheesecake	1	1		insufficient_after_rejection
P06	1147	lemonade	2	2	0.163155	pass
P06	1148	broccoli	1	1		insufficient_after_rejection
P06	1149	mole	1	1		insufficient_after_rejection
P06	1150	chick	2	2	0.026507	pass
P06	1151	tractor	1	1		insufficient_after_rejection
P06	1152	speedboat	1	1		insufficient_after_rejection
P06	1153	donut	1	1		insufficient_after_rejection
P06	1154	chandelier	1	1		insufficient_after_rejection
P06	1155	kale	1	1		insufficient_after_rejection
P06	1156	coconut	1	1		insufficient_after_rejection
P06	1157	barnacle	2	2	0.372099	pass
P06	1158	bulldozer	1	1		insufficient_after_rejection
P06	1159	pear	2	2	-0.320207	pass
P06	1160	clam	2	2	-0.034890	pass
P07	1001	limousine	2	2	0.106129	pass
P07	1002	pea	1	1		insufficient_after_rejection
P07	1003	shorts	1	1		insufficient_after_rejection
P07	1004	dalmatian	1	1		insufficient_after_rejection
P07	1005	ottoman	1	1		insufficient_after_rejection
P07	1006	cardinal	2	2	0.298876	pass
P07	1007	mirror	1	1		insufficient_after_rejection
P07	1008	keyboard	1	1		insufficient_after_rejection
P07	1009	papaya	1	1		insufficient_after_rejection
P07	1010	pineapple	1	1		insufficient_after_rejection
P07	1011	raspberry	1	1		insufficient_after_rejection
P07	1012	burrito	2	2	-0.249671	pass
P07	1013	banana	1	1		insufficient_after_rejection
P07	1014	shark	1	1		insufficient_after_rejection
P07	1015	moose	2	2	0.152784	pass
P07	1016	ant	1	1		insufficient_after_rejection
P07	1017	carrot	1	1		insufficient_after_rejection
P07	1018	coffee	1	1		insufficient_after_rejection
