subject_folder	channel	band	bandpower_uV2
P06	AF4	delta_1_4	1.28355592489
P06	AF4	theta_4_8	0.233292683959
P06	AF4	alpha_8_13	0.0746872709133
P06	AF4	beta_13_30	0.0463378435234
P06	AF4	low_gamma_30_45	0.0177083288218
P06	Fp2	delta_1_4	1.52397949994
P06	Fp2	theta_4_8	0.269699834287
P06	Fp2	alpha_8_13	0.0632712224033
P06	Fp2	beta_13_30	0.0646641544299
P06	Fp2	low_gamma_30_45	0.0122273280795
P06	Fp1	delta_1_4	1.13998566568
P06	Fp1	theta_4_8	0.246536619961
P06	Fp1	alpha_8_13	0.0466557474574
P06	Fp1	beta_13_30	0.083505831426
P06	Fp1	low_gamma_30_45	0.0393486523535
P06	AF3	delta_1_4	1.00035373867
P06	AF3	theta_4_8	0.230244945735
P06	AF3	alpha_8_13	0.0497097058687
P06	AF3	beta_13_30	0.019426153216
P06	AF3	low_gamma_30_45	0.00657025403507
P06	FC2	delta_1_4	0.809232637286
P06	FC2	theta_4_8	0.141806062311
P06	FC2	alpha_8_13	0.0285151638091
P06	FC2	beta_13_30	0.0385936837265
P06	FC2	low_gamma_30_45	0.00770486799593
P06	Cz	delta_1_4	0.746544018388
P06	Cz	theta_4_8	0.132424969226
P06	Cz	alpha_8_13	0.0169419631711
P06	Cz	beta_13_30	0.0373805457348
P06	Cz	low_gamma_30_45	0.00540590664241
P06	CP2	delta_1_4	0.070131521672
P06	CP2	theta_4_8	0.00590057659429
P06	CP2	alpha_8_13	0.00343929446535
P06	CP2	beta_13_30	0.01535668
P06	CP2	low_gamma_30_45	0.00561027865479
P06	PO3	delta_1_4	1.76119014621
P06	PO3	theta_4_8	0.516807839274
P06	PO3	alpha_8_13	0.0848218880128
P06	PO3	beta_13_30	0.0157028741523
P06	PO3	low_gamma_30_45	0.00395030659274
P06	O1	delta_1_4	1.7991939187
P06	O1	theta_4_8	0.524422079325
P06	O1	alpha_8_13	0.0995640051551
P06	O1	beta_13_30	0.0188030802965
P06	O1	low_gamma_30_45	0.00357893495675
P06	Oz	delta_1_4	1.75280052423
P06	Oz	theta_4_8	0.515842273831
P06	Oz	alpha_8_13	0.0937549030059
P06	Oz	beta_13_30	0.014839639698
P06	Oz	low_gamma_30_45	0.00293519187107
P06	O2	delta_1_4	1.77726238966
P06	O2	theta_4_8	0.540237396955
P06	O2	alpha_8_13	0.0922301893588
P06	O2	beta_13_30	0.0165122026374
P06	O2	low_gamma_30_45	0.00440857427566
P06	PO4	delta_1_4	1.71129447222
P06	PO4	theta_4_8	0.536906033754
P06	PO4	alpha_8_13	0.0964571484365
P06	PO4	beta_13_30	0.013330128364
P06	PO4	low_gamma_30_45	0.00403351522618
P06	Pz	delta_1_4	0.0999871529639
P06	Pz	theta_4_8	0.0734007563442
P06	Pz	alpha_8_13	0.0286151338369
P06	Pz	beta_13_30	0.0220936374972
P06	Pz	low_gamma_30_45	0.00387480980316
P06	CP1	delta_1_4	0.0214202664793
P06	CP1	theta_4_8	0.0187372472137
P06	CP1	alpha_8_13	0.0148900581989
P06	CP1	beta_13_30	0.0170985107543
P06	CP1	low_gamma_30_45	0.0109775715973
P06	FC1	delta_1_4	1.00529885292
P06	FC1	theta_4_8	0.214409157634
P06	FC1	alpha_8_13	0.0476697252598
P06	FC1	beta_13_30	0.0163484868172
P06	FC1	low_gamma_30_45	0.00719294724786
P06	P3	delta_1_4	1.7705321312
P06	P3	theta_4_8	0.512605160475
P06	P3	alpha_8_13	0.0787088210927
P06	P3	beta_13_30	0.0183377407902
P06	P3	low_gamma_30_45	0.00444067231729
P06	C3	delta_1_4	0.0938695855439
P06	C3	theta_4_8	0.0426050918177
P06	C3	alpha_8_13	0.0201582177542
P06	C3	beta_13_30	0.0354797394975
P06	C3	low_gamma_30_45	0.0130342233897
P06	F3	delta_1_4	1.02625516057
P06	F3	theta_4_8	0.233809906989
P06	F3	alpha_8_13	0.0435838344274
P06	F3	beta_13_30	0.0215209841263
P06	F3	low_gamma_30_45	0.00691026028653
P06	F7	delta_1_4	0.484215967357
P06	F7	theta_4_8	0.169744446874
P06	F7	alpha_8_13	0.037513517309
P06	F7	beta_13_30	0.163845171221
P06	F7	low_gamma_30_45	0.0341108398279
P06	FC5	delta_1_4	0.180186871439
P06	FC5	theta_4_8	0.0891986563802
P06	FC5	alpha_8_13	0.0328921703622
P06	FC5	beta_13_30	0.127704295795
P06	FC5	low_gamma_30_45	0.0484023371828
P06	CP5	delta_1_4	0.335548564792
P06	CP5	theta_4_8	0.0296577827539
P06	CP5	alpha_8_13	0.0173808102263
P06	CP5	beta_13_30	0.0359245652508
P06	CP5	low_gamma_30_45	0.00729112484623
P06	T7	delta_1_4	0.185015596449
P06	T7	theta_4_8	0.0216478016227
P06	T7	alpha_8_13	0.02294539781
P06	T7	beta_13_30	0.10707090213
P06	T7	low_gamma_30_45	0.0275180630706
P06	P7	delta_1_4	1.7749478817
P06	P7	theta_4_8	0.0689214877784
P06	P7	alpha_8_13	0.059552408522
P06	P7	beta_13_30	0.0963413008139
P06	P7	low_gamma_30_45	0.0337063519401
